gene_id	Heart_WT_1	Heart_WT_2	Heart_WT_3	Heart_WT_4	Heart_KO_1	Heart_KO_2	Heart_KO_3	Heart_KO_4
"1415955_x_at"	24.72137	42.42139	4.716837	25.29375	15.23147	13.03998	10.84303	42.46816
"1415956_a_at"	946.1033	1077.301	984.1357	904.0048	1273.228	1089.212	1144.849	800.6243
"1415957_a_at"	678.4719	542.1479	732.9765	846.4031	728.004	569.0287	766.5456	655.8598
"1415958_at"	6562.076	6326.122	7501.234	6597.388	10055.44	9230.662	9802.248	8709.466
"1415959_at"	999.4639	1137.353	1265.016	1259.402	1723.42	1735.623	1644.458	1159.127
"1415960_at"	30.52863	15.00899	50.37848	116.3309	68.65761	39.34103	80.60028	21.05922
"1415961_at"	3409.817	3211.415	3437.06	2436.166	2282.956	2609.504	2829.358	3144.65
"1415962_at"	12099.42	10425.31	10405.68	9791.341	12298.67	11170.33	10968.07	10569.12
"1415963_at"	3124.991	2843.165	2894.854	2940.525	2554.846	2862.123	2763.507	2676.639
"1415964_at"	2256.043	8933.628	2465.138	2416.919	1640.847	2715.59	1620.466	10380.57
"1415965_at"	68.71706	267.9081	109.8578	157.5188	79.74963	109.4469	44.2041	312.1164
"1415966_a_at"	36548.34	32979.68	32986.8	30671.98	39082	35914.59	36097.81	34680.79
"1415967_at"	25788.02	22263.02	23305.59	23302.62	28897.75	28318.04	26414.39	27863.09
"1415968_a_at"	86.78313	197.2029	99.48178	145.9257	158.133	94.17107	109.0146	145.6322
"1415969_s_at"	2.760787	6.84064	3.852986	5.942638	15.78688	18.82087	6.429536	9.246763
"1415970_at"	59135.7	63468.51	57624.38	47095.42	73431.59	62273.58	66447.62	57552.79
"1415971_at"	2663.206	3455.891	2711.984	2891.095	1501.03	1528.757	1283.065	2496.563
"1415972_at"	1561.39	2497.208	1933.372	2636.769	935.1077	1104.018	1032.093	1800.509
"1415973_at"	2215.677	3351.389	2261.696	2944.77	1243.193	1726.802	1188.03	2611.942
"1415974_at"	2752.895	1955.137	2484.48	2011.871	2609.018	2832.032	2270.874	2593.965
"1415975_at"	629.2578	443.9419	579.5153	588.8761	455.9888	502.918	466.1822	617.5908
